epoch,train_loss,val_mAP,val_AP50,val_AP75,time_min,best_mAP_so_far
1,0.539138,0.111394,0.387641,0.021822,1.505,0.111394
2,0.340198,0.139546,0.439438,0.037763,1.496,0.139546
3,0.326627,0.131259,0.462624,0.024016,1.843,0.139546
4,0.325905,0.145514,0.483662,0.033402,1.736,0.145514
5,0.307182,0.129047,0.380394,0.044429,1.811,0.145514
6,0.310917,0.153067,0.469116,0.044046,1.685,0.153067
7,0.30151,0.150677,0.506734,0.03261,1.805,0.153067
8,0.303227,0.163253,0.499924,0.051427,1.686,0.163253
9,0.300246,0.162105,0.508533,0.051707,1.824,0.163253
10,0.297803,0.155395,0.513769,0.031616,1.659,0.163253
11,0.297818,0.125977,0.419681,0.024758,1.621,0.163253
12,0.291298,0.155631,0.494319,0.047111,1.658,0.163253
13,0.286963,0.176209,0.529354,0.072186,1.657,0.176209
14,0.285069,0.144161,0.446195,0.056645,1.831,0.176209
15,0.285,0.174886,0.528016,0.059161,1.622,0.176209
16,0.279955,0.185177,0.529501,0.083693,1.663,0.185177
17,0.278507,0.167943,0.501746,0.058421,1.81,0.185177
18,0.267184,0.162526,0.503061,0.036887,1.622,0.185177
19,0.270456,0.174336,0.497398,0.068314,1.674,0.185177
20,0.271171,0.149359,0.462909,0.0494,1.644,0.185177
21,0.257624,0.147244,0.46814,0.04101,1.665,0.185177
22,0.265997,0.151081,0.465261,0.059241,1.616,0.185177
23,0.256829,0.16175,0.496407,0.043459,1.621,0.185177
24,0.25145,0.156722,0.49379,0.048676,1.604,0.185177
25,0.250395,0.139692,0.423591,0.051865,1.619,0.185177
26,0.247654,0.159398,0.514362,0.047177,1.64,0.185177
